ACTIVE ENGINE ALERTS
==================================================
Source: NASA C-MAPSS Test Dataset (real RUL values)

Total Active Alerts: 195

🟠 WARNING  | FD001 Engine  18 | RUL:  28 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  20 | RUL:  16 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  24 | RUL:  20 cycles | Action: Schedule inspection
🔴 CRITICAL | FD001 Engine  31 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD001 Engine  34 | RUL:   7 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD001 Engine  35 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD001 Engine  36 | RUL:  19 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  37 | RUL:  21 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  40 | RUL:  28 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  41 | RUL:  18 cycles | Action: Schedule inspection
🔴 CRITICAL | FD001 Engine  42 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD001 Engine  49 | RUL:  21 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  52 | RUL:  29 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  53 | RUL:  26 cycles | Action: Schedule inspection
🔴 CRITICAL | FD001 Engine  56 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD001 Engine  58 | RUL:  37 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  61 | RUL:  21 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  64 | RUL:  28 cycles | Action: Schedule inspection
🔴 CRITICAL | FD001 Engine  66 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD001 Engine  68 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD001 Engine  76 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD001 Engine  77 | RUL:  34 cycles | Action: Schedule inspection
🔴 CRITICAL | FD001 Engine  81 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD001 Engine  82 | RUL:   9 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD001 Engine  90 | RUL:  28 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  91 | RUL:  38 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine  92 | RUL:  20 cycles | Action: Schedule inspection
🟠 WARNING  | FD001 Engine 100 | RUL:  20 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine   1 | RUL:  18 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine   5 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine   7 | RUL:   6 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine   9 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine  11 | RUL:   6 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine  13 | RUL:  30 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine  14 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine  15 | RUL:  37 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine  19 | RUL:  22 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine  22 | RUL:  10 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine  32 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine  40 | RUL:  37 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine  42 | RUL:  27 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine  43 | RUL:  18 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine  44 | RUL:   6 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine  45 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine  48 | RUL:  13 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine  50 | RUL:  13 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine  58 | RUL:  26 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine  62 | RUL:  39 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine  63 | RUL:  39 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine  64 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine  65 | RUL:  11 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine  70 | RUL:  17 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine  76 | RUL:  36 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine  80 | RUL:  15 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine  84 | RUL:  17 cycles | Action: Schedule inspection
🟠 WARNING  | FD002 Engine  87 | RUL:  21 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine  90 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine  91 | RUL:   9 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine  97 | RUL:  31 cycles | Action: Schedule inspection
🔴 CRITICAL | FD002 Engine  99 | RUL:   9 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 100 | RUL:  14 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 102 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🔴 CRITICAL | FD002 Engine 103 | RUL:   8 cycles | Action: GROUND IMMEDIATELY
🟠 WARNING  | FD002 Engine 109 | RUL:  35 cycles | Action: Schedule inspection
